enodebid            	string              	基站ID                
swchaf_succ_rate    	float               	异频切换成功率(%)          
counter0151         	float               	eNodeB内切换成功率分子      
counter0193         	float               	eNodeB内切换成功率分母      
counter0154         	float               	eNodeB间切换成功率分子      
counter0196         	float               	eNodeB间切换成功率分母      
swchenin_succ_rate  	float               	eNodeB内切换成功率(%)     
swchenmu_succ_rate  	float               	eNodeB间切换成功率(%)     
rsrp_count_valid    	bigint              	有效RSRP值的数量          
rsrp_level1_count   	bigint              	RSRP(-∞，-115)数量     
rsrp_level2_count   	bigint              	RSRP[-115，-105)数量   
rsrp_level3_count   	bigint              	RSRP[-105，-95)数量    
rsrp_level4_count   	bigint              	RSRP[-95，-85)数量     
rsrp_level5_count   	bigint              	RSRP[-85，+∞)数量      
ests1_succ_rate     	string              	S1接口建立成功率(%)        
ests1_att           	string              	S1接口建立尝试次数          
ests1_succ          	string              	S1接口建立成功次数          
lte_to_3g_cnt       	bigint              	LTE到3G切换执行次数        
reserved5           	string              	预留字段5               
reserved6           	string              	预留字段6               
reserved7           	string              	预留字段7               
reserved8           	string              	预留字段8               
reserved9           	string              	预留字段9               
reserved10          	string              	预留字段10
hour                	bigint
